time,y,delta_y,delta_t,Vy,Impacto
1.44,689.0979,24.26477,0.02400000000000002,1011.0320833333324,1035.2155585224118
1.464,712.03601,22.93811000000005,0.02400000000000002,955.7545833333346,1039.2299180456785
1.488,733.64746,21.61144999999999,0.02400000000000002,900.4770833333322,1041.9176175689436
1.512,753.93219,20.284729999999968,0.02400000000000002,845.1970833333312,1043.2777412398968
1.536,772.8902,18.95801000000006,0.02400000000000002,789.9170833333351,1043.311144910852
1.56,790.52161,17.63140999999996,0.02400000000000002,734.642083333331,1042.0196602864287
1.584,806.82654,16.304930000000013,0.02400000000000002,679.3720833333333,1039.403407366632
1.608,821.80512,14.978579999999965,0.02400000000000002,624.107499999998,1035.4626587935109
1.632,835.45758,13.65246000000002,0.0239999999999998,568.8525000000055,1030.1990709875897
1.656,847.78406,12.326479999999947,0.02400000000000002,513.6033333333306,1023.6115001703919
1.68,858.78485,11.000790000000052,0.02400000000000002,458.36625000000174,1015.7023759727078
1.704,868.46014,9.675290000000018,0.02400000000000002,403.13708333333375,1006.4704619740106
1.728,876.81024,8.350099999999998,0.02400000000000002,347.92083333333295,995.917779878927
1.752,883.83539,7.02514999999994,0.02400000000000002,292.71458333333055,984.0435711930919
